-5.000000,0.000001
-4.900000,0.000002
-4.800000,0.000004
-4.700000,0.000006
-4.600000,0.000010
-4.500000,0.000016
-4.400000,0.000025
-4.300000,0.000039
-4.200000,0.000059
-4.100000,0.000089
-4.000000,0.000134
-3.900000,0.000199
-3.800000,0.000292
-3.700000,0.000425
-3.600000,0.000612
-3.500000,0.000873
-3.400000,0.001232
-3.300000,0.001723
-3.200000,0.002384
-3.100000,0.003267
-3.000000,0.004432
-2.900000,0.005953
-2.800000,0.007915
-2.700000,0.010421
-2.600000,0.013583
-2.500000,0.017528
-2.400000,0.022395
-2.300000,0.028327
-2.200000,0.035475
-2.100000,0.043984
-2.000000,0.053991
-1.900000,0.065616
-1.800000,0.078950
-1.700000,0.094049
-1.600000,0.110921
-1.500000,0.129518
-1.400000,0.149727
-1.300000,0.171369
-1.200000,0.194186
-1.100000,0.217852
-1.000000,0.241971
-0.900000,0.266085
-0.800000,0.289692
-0.700000,0.312254
-0.600000,0.333225
-0.500000,0.352065
-0.400000,0.368270
-0.300000,0.381388
-0.200000,0.391043
-0.100000,0.396953
0.000000,0.398942
0.100000,0.396953
0.200000,0.391043
0.300000,0.381388
0.400000,0.368270
0.500000,0.352065
0.600000,0.333225
0.700000,0.312254
0.800000,0.289692
0.900000,0.266085
1.000000,0.241971
1.100000,0.217852
1.200000,0.194186
1.300000,0.171369
1.400000,0.149727
1.500000,0.129518
1.600000,0.110921
1.700000,0.094049
1.800000,0.078950
1.900000,0.065616
2.000000,0.053991
2.100000,0.043984
2.200000,0.035475
2.300000,0.028327
2.400000,0.022395
2.500000,0.017528
2.600000,0.013583
2.700000,0.010421
2.800000,0.007915
2.900000,0.005953
3.000000,0.004432
3.100000,0.003267
3.200000,0.002384
3.300000,0.001723
3.400000,0.001232
3.500000,0.000873
3.600000,0.000612
3.700000,0.000425
3.800000,0.000292
3.900000,0.000199
4.000000,0.000134
4.100000,0.000089
4.200000,0.000059
4.300000,0.000039
4.400000,0.000025
4.500000,0.000016
4.600000,0.000010
4.700000,0.000006
4.800000,0.000004
4.900000,0.000002
5.000000,0.000001
